Year,Lg,Champion,Runner-Up,Finals MVP, ,Points,Rebounds,Assists,Win Shares
2020,NBA,Denver Nuggets,Miami Heat,N. Jokić,,N. Jokić (600),N. Jokić (269),N. Jokić (190),N. Jokić (5.0)
2019,NBA,Golden State Warriors,Boston Celtics,S. Curry,,J. Tatum (615),A. Horford (214),J. Tatum (148),J. Butler (3.8)
2018,NBA,Milwaukee Bucks,Phoenix Suns,G. Antetokounmpo,,G. Antetokounmpo (634),G. Antetokounmpo (269),J. Holiday (199),G. Antetokounmpo (3.7)
2017,NBA,Los Angeles Lakers,Miami Heat,L. James,,A. Davis (582),L. James (226),L. James (184),A. Davis (4.5)
2016,NBA,Toronto Raptors,Golden State Warriors,K. Leonard,,K. Leonard (732),D. Green (223),D. Green (187),K. Leonard (4.9)
2015,NBA,Golden State Warriors,Cleveland Cavaliers,K. Durant,,L. James (748),D. Green (222),L. James (198),L. James (5.2)
2014,NBA,Golden State Warriors,Cleveland Cavaliers,K. Durant,,L. James (591),K. Love (191),L. James (141),L. James (4.3)
2013,NBA,Cleveland Cavaliers,Golden State Warriors,L. James,,K. Thompson (582),D. Green (228),R. Westbrook (198),L. James (4.7)
2012,NBA,Golden State Warriors,Cleveland Cavaliers,A. Iguodala,,L. James (601),D. Howard (238),L. James (169),S. Curry (3.9)
2011,NBA,San Antonio Spurs,Miami Heat,K. Leonard,,K. Durant (563),T. Duncan (211),R. Westbrook (153),L. James (4.3)
2010,NBA,Miami Heat,San Antonio Spurs,L. James,,L. James (596),T. Duncan (214),L. James (152),L. James (5.2)
2009,NBA,Miami Heat,Oklahoma City Thunder,L. James,,L. James (697),L. James (224),R. Rondo (227),L. James (5.8)
2008,NBA,Dallas Mavericks,Miami Heat,D. Nowitzki,,D. Nowitzki (582),T. Chandler (193),J. Kidd (153),L. James (3.8)
2007,NBA,Los Angeles Lakers,Boston Celtics,K. Bryant,,K. Bryant (671),P. Gasol (255),R. Rondo (223),P. Gasol (4.3)
2006,NBA,Los Angeles Lakers,Orlando Magic,K. Bryant,,K. Bryant (695),D. Howard (353),R. Rondo (137),L. James (4.8)
2005,NBA,Boston Celtics,Los Angeles Lakers,P. Pierce,,K. Bryant (633),K. Garnett (274),R. Rondo (172),K. Garnett (4.1)
2004,NBA,San Antonio Spurs,Cleveland Cavaliers,T. Parker,,L. James (501),T. Duncan (229),L. James (159),L. James (3.7)
2003,NBA,Miami Heat,Dallas Mavericks,D. Wade,,D. Wade (654),D. Nowitzki (268),S. Nash (204),D. Nowitzki (5.4)
2002,NBA,San Antonio Spurs,Detroit Pistons,T. Duncan,,T. Duncan (542),T. Duncan (286),S. Nash (170),C. Billups (4.6)
2001,NBA,Detroit Pistons,Los Angeles Lakers,C. Billups,,K. Bryant (539),B. Wallace (328),C. Billups (136),S. O'Neal (3.9)
2000,NBA,San Antonio Spurs,New Jersey Nets,T. Duncan,,T. Duncan (593),T. Duncan (369),J. Kidd (163),T. Duncan (5.9)
1999,NBA,Los Angeles Lakers,New Jersey Nets,S. O'Neal,,S. O'Neal (541),S. O'Neal (239),J. Kidd (182),S. O'Neal (3.8)
1998,NBA,Los Angeles Lakers,Philadelphia 76ers,S. O'Neal,,A. Iverson (723),D. Mutombo (316),A. Iverson (134),K. Bryant (3.8)
1997,NBA,Los Angeles Lakers,Indiana Pacers,S. O'Neal,,S. O'Neal (707),S. O'Neal (355),M. Jackson (178),S. O'Neal (4.7)
1996,NBA,San Antonio Spurs,New York Knicks,T. Duncan,,L. Sprewell (407),T. Duncan (195),A. Johnson (126),T. Duncan (3.7)
1995,NBA,Chicago Bulls,Utah Jazz,M. Jordan,,M. Jordan (680),D. Rodman (248),J. Stockton (155),M. Jordan (4.8)
1994,NBA,Chicago Bulls,Utah Jazz,M. Jordan,,M. Jordan (590),K. Malone (228),J. Stockton (191),M. Jordan (3.9)
1993,NBA,Chicago Bulls,Seattle SuperSonics,M. Jordan,,M. Jordan (552),D. Rodman (247),J. Stockton (195),M. Jordan (4.7)
1992,NBA,Houston Rockets,Orlando Magic,H. Olajuwon,,H. Olajuwon (725),S. O'Neal (250),A. Hardaway (162),S. O'Neal (3.0)
1991,NBA,Houston Rockets,New York Knicks,H. Olajuwon,,H. Olajuwon (664),P. Ewing (293),J. Stockton (157),H. Olajuwon (4.3)
1990,NBA,Chicago Bulls,Phoenix Suns,M. Jordan,,M. Jordan (666),C. Barkley (326),K. Johnson (182),C. Barkley (4.6)
1989,NBA,Chicago Bulls,Portland Trail Blazers,M. Jordan,,M. Jordan (759),H. Grant (194),J. Stockton (217),M. Jordan (4.1)
1988,NBA,Chicago Bulls,Los Angeles Lakers,M. Jordan,,M. Jordan (529),D. Rodman (177),M. Johnson (240),M. Jordan (4.8)
1987,NBA,Detroit Pistons,Portland Trail Blazers,I. Thomas,,M. Jordan (587),B. Laimbeer (211),K. Johnson (170),M. Jordan (4.0)
1986,NBA,Detroit Pistons,Los Angeles Lakers,J. Dumars,,M. Jordan (591),D. Rodman (170),M. Johnson (165),M. Jordan (4.0)
1985,NBA,Los Angeles Lakers,Detroit Pistons,J. Worthy,,J. Worthy (506),B. Laimbeer (221),M. Johnson (303),M. Johnson (4.0)
1984,NBA,Los Angeles Lakers,Boston Celtics,M. Johnson,,L. Bird (622),L. Bird (231),M. Johnson (219),M. Johnson (3.7)
1983,NBA,Boston Celtics,Houston Rockets,L. Bird,,H. Olajuwon (537),H. Olajuwon (236),M. Johnson (211),L. Bird (4.2)
